Seed,Sequence_Length,Model,Epoch,Loss,Train_Accuracy,Early_Stop_Epoch,Best_Epoch,Final_Test_Accuracy
42,100,LSTM,20,0.6316,0.678,47.0,32.0,0.8136
42,100,LSTM,25,0.5609,0.6773,47.0,32.0,0.8136
42,100,LSTM,30,0.5215,0.7356,47.0,32.0,0.8136
42,100,LSTM,35,0.425,0.7879,47.0,32.0,0.8136
42,100,LSTM,40,0.3986,0.8136,47.0,32.0,0.8136
42,100,LSTM,45,0.364,0.8098,47.0,32.0,0.8136
42,100,LSTM,50,0.3529,0.8068,47.0,32.0,0.8136
42,200,Pool,5,0.3395,0.8326,,,0.9023
42,200,Pool,10,0.3138,0.8644,,,0.9023
42,200,Pool,15,0.2948,0.8621,,,0.9023
42,200,Pool,20,0.2799,0.8833,,,0.9023
42,200,Pool,25,0.2712,0.8917,,,0.9023
42,200,Pool,30,0.2521,0.8947,,,0.9023
42,200,Pool,35,0.2428,0.8765,,,0.9023
42,200,Pool,40,0.2481,0.8818,,,0.9023
42,200,Pool,45,0.2324,0.8939,,,0.9023
42,200,Pool,50,0.2358,0.9023,,,0.9023
42,200,LSTM,5,0.6893,0.5159,,,0.8742
42,200,LSTM,10,0.6908,0.5159,,,0.8742
42,200,LSTM,15,0.6886,0.5265,,,0.8742
42,200,LSTM,20,0.5498,0.6886,,,0.8742
42,200,LSTM,25,0.4836,0.7205,,,0.8742
42,200,LSTM,30,0.4321,0.797,,,0.8742
42,200,LSTM,35,0.3416,0.8114,,,0.8742
42,200,LSTM,40,0.2996,0.8674,,,0.8742
42,200,LSTM,45,0.2791,0.8705,,,0.8742
42,200,LSTM,50,0.2427,0.8742,,,0.8742
42,300,Pool,5,0.3037,0.8841,47.0,32.0,0.9197
42,300,Pool,10,0.2806,0.8985,47.0,32.0,0.9197
42,300,Pool,15,0.2533,0.8636,47.0,32.0,0.9197
42,300,Pool,20,0.2442,0.9144,47.0,32.0,0.9197
42,300,Pool,25,0.2317,0.9144,47.0,32.0,0.9197
42,300,Pool,30,0.2197,0.9121,47.0,32.0,0.9197
42,300,Pool,35,0.2083,0.897,47.0,32.0,0.9197
42,300,Pool,40,0.2115,0.9106,47.0,32.0,0.9197
42,300,Pool,45,0.1975,0.9061,47.0,32.0,0.9197
42,300,LSTM,5,0.6874,0.5008,47.0,32.0,0.9038
42,300,LSTM,10,0.5655,0.7114,47.0,32.0,0.9038
42,300,LSTM,15,0.5145,0.7326,47.0,32.0,0.9038
42,300,LSTM,20,0.3956,0.7508,47.0,32.0,0.9038
42,300,LSTM,25,0.353,0.847,47.0,32.0,0.9038
42,300,LSTM,30,0.2909,0.8727,47.0,32.0,0.9038
42,300,LSTM,35,0.2595,0.8902,47.0,32.0,0.9038
42,300,LSTM,40,0.235,0.8924,47.0,32.0,0.9038
42,300,LSTM,45,0.2126,0.9,47.0,32.0,0.9038
42,300,LSTM,50,0.2094,0.8856,47.0,32.0,0.9038
42,400,Pool,5,0.2826,0.8795,,,0.9364
42,400,Pool,10,0.2642,0.8924,,,0.9364
42,400,Pool,15,0.2364,0.8894,,,0.9364
42,400,Pool,20,0.2279,0.9106,,,0.9364
42,400,Pool,25,0.2131,0.9265,,,0.9364
42,400,Pool,30,0.202,0.9242,,,0.9364
42,400,Pool,35,0.1917,0.8962,,,0.9364
42,400,Pool,40,0.1875,0.9091,,,0.9364
42,400,Pool,45,0.1818,0.9068,,,0.9364
42,400,Pool,50,0.1807,0.922,,,0.9364
42,400,LSTM,5,0.6851,0.4848,,,0.8962
42,400,LSTM,10,0.6048,0.6902,,,0.8962
42,400,LSTM,15,0.693,0.5159,,,0.8962
42,400,LSTM,20,0.5471,0.7106,,,0.8962
42,400,LSTM,25,0.5368,0.7061,,,0.8962
42,400,LSTM,30,0.4821,0.7591,,,0.8962
42,400,LSTM,35,0.3851,0.8242,,,0.8962
42,400,LSTM,40,0.2717,0.8545,,,0.8962
42,400,LSTM,45,0.2296,0.8962,,,0.8962
42,400,LSTM,50,0.2292,0.8765,,,0.8962
42,500,Pool,5,0.2708,0.8848,,,0.9379
42,500,Pool,10,0.2443,0.8985,,,0.9379
42,500,Pool,15,0.216,0.9152,,,0.9379
42,500,Pool,20,0.2191,0.8977,,,0.9379
42,500,Pool,25,0.1921,0.9341,,,0.9379
42,500,Pool,30,0.1823,0.9326,,,0.9379
42,500,Pool,35,0.1753,0.9068,,,0.9379
42,500,Pool,40,0.1695,0.9174,,,0.9379
42,500,Pool,45,0.1632,0.9159,,,0.9379
42,500,Pool,50,0.1636,0.9333,,,0.9379
42,500,LSTM,5,0.683,0.5159,,,0.9144
42,500,LSTM,10,0.5376,0.7114,,,0.9144
42,500,LSTM,15,0.4423,0.7902,,,0.9144
42,500,LSTM,20,0.3529,0.847,,,0.9144
42,500,LSTM,25,0.2771,0.8667,,,0.9144
42,500,LSTM,30,0.2355,0.8947,,,0.9144
42,500,LSTM,35,0.226,0.9083,,,0.9144
42,500,LSTM,40,0.1931,0.9106,,,0.9144
42,500,LSTM,45,0.199,0.9076,,,0.9144
42,500,LSTM,50,0.1798,0.897,,,0.9144
